MEN,44.3,"1,157.10","1,198.00","1,150.00","1,172.00","1,168.86","3,452.00","1,180.00","4,034,892.60",91,-8.0,48.0,-0.68,4.17,0.27,"1,048.76",933.95,"1,530.00",343.00,11_12_2021
MEN,44.3,"1,157.10","1,198.00","1,150.00","1,172.00","1,168.86","3,452.00","1,180.00","4,034,892.60",91,-8.0,48.0,-0.68,4.17,0.27,"1,048.76",933.95,"1,530.00",343.00,11_13_2021
MEN,42.25,"1,195.40","1,219.00","1,144.00","1,199.00","1,187.32","8,577.00","1,172.00","10,183,681.00",175,27.00,75.00,2.3,6.56,0.97,"1,052.02",937.03,"1,530.00",343.00,11_14_2021
MEN,47.83,"1,175.10","1,222.50","1,155.00","1,165.00","1,168.62","6,479.00","1,199.00","7,571,485.90",91,-34.00,67.50,-2.84,5.84,-0.31,"1,054.69",939.95,"1,530.00",343.00,11_15_2021
MEN,46.2,"1,150.00","1,200.00","1,107.00","1,178.00","1,154.27","5,147.00","1,165.00","5,941,039.00",107,13.00,93.00,1.12,8.4,2.01,"1,057.51",943.05,"1,530.00",343.00,11_16_2021
MEN,47.62,"1,180.00","1,259.00","1,180.00","1,225.00","1,212.56","13,217.00","1,178.00","16,026,397.60",177,47.00,79.00,3.99,6.69,1.02,"1,060.80",946.45,"1,530.00",343.00,11_17_2021
MEN,60.25,"1,200.50","1,210.00","1,170.00","1,170.00","1,191.63","2,430.00","1,225.00","2,895,657.00",79,-55.0,40.0,-4.49,3.42,-1.85,"1,063.59",949.38,"1,530.00",343.00,11_18_2021
MEN,42.78,"1,200.50","1,210.00","1,170.00","1,170.00","1,191.63","2,430.00","1,225.00","2,895,657.00",79,-55.0,40.0,-4.49,3.42,-1.85,"1,063.59",949.38,"1,530.00",343.00,11_19_2021
MEN,42.78,"1,200.50","1,210.00","1,170.00","1,170.00","1,191.63","2,430.00","1,225.00","2,895,657.00",79,-55.0,40.0,-4.49,3.42,-1.85,"1,063.59",949.38,"1,530.00",343.00,11_20_2021
MEN,38.08,"1,151.10","1,193.40","1,151.10","1,190.00","1,171.58","1,670.00","1,170.00","1,956,534.50",103,20.0,42.3,1.71,3.67,1.55,"1,066.40",952.38,"1,530.00",343.00,11_21_2021
MEN,45.37,"1,169.00","1,201.00","1,168.00","1,196.00","1,186.24","1,890.00","1,190.00","2,241,999.00",91,6.0,33.0,0.5,2.83,0.82,"1,069.36",955.49,"1,530.00",343.00,11_22_2021
MEN,45.52,"1,173.00","1,173.00","1,149.00","1,168.00","1,156.36","2,735.00","1,196.00","3,162,639.00",88,-28.0,24.0,-2.34,2.09,1.0,"1,072.23",958.37,"1,530.00",343.00,11_23_2021
MEN,39.24,"1,191.00","1,191.00","1,123.00","1,170.00","1,138.44","13,985.00","1,168.00","15,921,126.00",81,2.00,68.0,0.17,6.06,2.7,"1,075.06",961.26,"1,530.00",343.00,11_24_2021
MEN,49.48,"1,190.00","1,190.00","1,150.00","1,168.00","1,174.05","3,546.00","1,170.00","4,163,173.00",102,-2.0,40.0,-0.17,3.48,-0.52,"1,077.98",964.15,"1,530.00",343.00,11_25_2021
MEN,47.61,"1,190.00","1,190.00","1,150.00","1,168.00","1,174.05","3,546.00","1,170.00","4,163,173.00",102,-2.0,40.0,-0.17,3.48,-0.52,"1,077.98",964.15,"1,530.00",343.00,11_26_2021
MEN,47.61,"1,190.00","1,190.00","1,150.00","1,168.00","1,174.05","3,546.00","1,170.00","4,163,173.00",102,-2.0,40.0,-0.17,3.48,-0.52,"1,077.98",964.15,"1,530.00",343.00,11_27_2021
MEN,44.71,"1,146.00","1,148.00","1,087.80","1,100.00","1,123.46","6,141.00","1,168.00","6,899,182.00",80,-68.0,60.2,-5.82,5.53,-2.13,"1,080.40",966.68,"1,530.00",343.00,11_28_2021
MEN,42.82,"1,078.30","1,121.70","1,078.30","1,096.00","1,101.80","1,420.00","1,100.00","1,564,550.00",59,-4.0,43.4,-0.36,4.02,-0.53,"1,082.54",969.18,"1,530.00",343.00,11_29_2021
MEN,39.25,"1,090.00","1,154.00","1,070.00","1,119.00","1,101.40","2,427.00","1,096.00","2,673,096.60",77,23.0,84.0,2.1,7.85,1.57,"1,085.14",971.83,"1,530.00",343.00,11_30_2021
MEN,41.13,"1,115.00","1,137.00","1,100.00","1,100.00","1,119.63","1,610.00","1,119.00","1,802,600.00",59,-19.0,37.0,-1.7,3.36,-1.78,"1,087.72",974.48,"1,530.00",343.00,12_01_2021
MEN,38.16,"1,105.00","1,120.00","1,075.00","1,101.90","1,097.46","4,405.00","1,100.00","4,834,301.00",90,1.9,45.0,0.17,4.19,0.4,"1,090.40",977.13,"1,530.00",343.00,12_02_2021
MEN,51.36,"1,105.00","1,120.00","1,075.00","1,101.90","1,097.46","4,405.00","1,100.00","4,834,301.00",90,1.9,45.0,0.17,4.19,0.4,"1,090.40",977.13,"1,530.00",343.00,12_03_2021
MEN,51.36,"1,105.00","1,120.00","1,075.00","1,101.90","1,097.46","4,405.00","1,100.00","4,834,301.00",90,1.9,45.0,0.17,4.19,0.4,"1,090.40",977.13,"1,530.00",343.00,12_04_2021
MEN,50.46,"1,118.00","1,118.00","1,033.00","1,065.00","1,052.65","4,860.00","1,101.90","5,115,872.00",113,-36.9,85.0,-3.35,8.23,1.16,"1,092.45",979.61,"1,530.00",343.00,12_05_2021
MEN,45.3,"1,085.90","1,085.90","1,007.00","1,050.00","1,038.01","4,490.00","1,065.00","4,660,647.00",90,-15.0,78.90,-1.41,7.84,1.14,"1,094.57",981.98,"1,530.00",343.00,12_06_2021
MEN,42.32,"1,071.00","1,071.00","1,037.70","1,055.00","1,052.70","4,801.00","1,050.00","5,054,035.00",62,5.0,33.30,0.48,3.21,0.22,"1,096.85",984.27,"1,530.00",343.00,12_07_2021
MEN,42.9,727.00,739.00,717.00,739.00,730.58,"4,055.00",741.70,"2,962,509.50",39,-2.7,22.0,-0.36,3.07,1.14,793.87,863.55,"1,319.00",695.00,12_07_2022
MEN,43.77,"1,035.00","1,055.00","1,010.90","1,053.60","1,034.46","2,515.00","1,055.00","2,601,669.00",49,-1.4,44.10,-0.13,4.36,1.82,"1,099.07",986.58,"1,530.00",343.00,12_08_2021
MEN,37.78,"1,033.00","1,053.60","1,000.00","1,013.10","1,010.74","3,074.00","1,053.60","3,107,018.00",74,-40.5,53.6,-3.84,5.36,0.23,"1,100.91",988.66,"1,530.00",343.00,12_09_2021
MEN,38.47,"1,033.00","1,053.60","1,000.00","1,013.10","1,010.74","3,074.00","1,053.60","3,107,018.00",74,-40.5,53.6,-3.84,5.36,0.23,"1,100.91",988.66,"1,530.00",343.00,12_10_2021
MEN,38.47,"1,033.00","1,053.60","1,000.00","1,013.10","1,010.74","3,074.00","1,053.60","3,107,018.00",74,-40.5,53.6,-3.84,5.36,0.23,"1,100.91",988.66,"1,530.00",343.00,12_11_2021
MEN,37.82,"1,013.50","1,033.70",953.00,996.00,993.04,"13,255.00","1,013.10","13,162,711.50",91,-17.10,80.70,-1.69,8.47,0.3,"1,102.66",990.54,"1,530.00",343.00,12_12_2021
MEN,42.02,977.00,"1,036.00",925.00,"1,035.00",978.80,"9,061.00",996.00,"8,868,877.00",103,39.00,111.00,3.92,12.0,5.43,"1,104.09",992.42,"1,530.00",343.00,12_13_2021
MEN,46.03,"1,015.00","1,064.80",995.00,"1,064.80","1,042.10","4,128.00","1,035.00","4,301,796.60",56,29.80,69.80,2.88,7.02,2.13,"1,105.04",994.56,"1,530.00",343.00,12_14_2021
MEN,48.79,"1,085.90","1,085.90","1,012.00","1,039.90","1,029.92","2,871.00","1,064.80","2,956,896.50",73,-24.9,73.9,-2.34,7.3,0.96,"1,105.72",996.60,"1,530.00",343.00,12_15_2021
MEN,46.3,"1,019.20","1,081.80",999.00,"1,081.80","1,025.08","5,660.00","1,039.90","5,801,960.50",51,41.9,82.8,4.03,8.29,5.24,"1,106.61",998.90,"1,530.00",343.00,12_16_2021
MEN,51.45,"1,019.20","1,081.80",999.00,"1,081.80","1,025.08","5,660.00","1,039.90","5,801,960.50",51,41.9,82.8,4.03,8.29,5.24,"1,106.61",998.90,"1,530.00",343.00,12_17_2021
MEN,51.45,"1,019.20","1,081.80",999.00,"1,081.80","1,025.08","5,660.00","1,039.90","5,801,960.50",51,41.9,82.8,4.03,8.29,5.24,"1,106.61",998.90,"1,530.00",343.00,12_18_2021
MEN,51.45,"1,019.20","1,081.80",999.00,"1,081.80","1,025.08","5,660.00","1,039.90","5,801,960.50",51,41.9,82.8,4.03,8.29,5.24,"1,106.61",998.90,"1,530.00",343.00,12_19_2021
MEN,48.76,"1,065.00","1,065.00",985.00,"1,015.10","1,020.23","2,560.00","1,081.80","2,611,799.00",63,-66.7,80.0,-6.17,8.12,-0.51,"1,107.28","1,000.80","1,530.00",343.00,12_20_2021
MEN,38.69,997.20,"1,090.00",997.20,"1,090.00","1,027.33","1,304.00","1,015.10","1,339,642.00",69,74.9,92.80,7.38,9.31,5.75,"1,108.84","1,003.08","1,530.00",343.00,12_21_2021
MEN,46.54,"1,089.90","1,120.00","1,006.00","1,115.00","1,079.82","4,475.00","1,090.00","4,832,215.00",78,25.0,114.0,2.29,11.33,3.15,"1,110.84","1,005.47","1,530.00",365.00,12_22_2021
MEN,51.64,"1,110.00","1,125.00","1,039.80","1,125.00","1,089.55","3,731.00","1,115.00","4,065,095.00",96,10.0,85.2,0.9,8.19,3.15,"1,113.09","1,007.74","1,530.00",365.00,12_23_2021
MEN,52.25,"1,110.00","1,125.00","1,039.80","1,125.00","1,089.55","3,731.00","1,115.00","4,065,095.00",96,10.0,85.2,0.9,8.19,3.15,"1,113.09","1,007.74","1,530.00",365.00,12_24_2021
MEN,52.25,"1,110.00","1,125.00","1,039.80","1,125.00","1,089.55","3,731.00","1,115.00","4,065,095.00",96,10.0,85.2,0.9,8.19,3.15,"1,113.09","1,007.74","1,530.00",365.00,12_25_2021
MEN,50.63,"1,135.00","1,135.00","1,083.00","1,090.00","1,113.61","7,161.00","1,125.00","7,974,580.00",61,-35.00,52.00,-3.11,4.8,-2.17,"1,114.78","1,009.88","1,530.00",371.00,12_26_2021
MEN,54.29,"1,069.00","1,111.00","1,030.00","1,030.00","1,053.58","2,330.00","1,090.00","2,454,831.00",67,-60.0,81.00,-5.5,7.86,-2.29,"1,116.20","1,011.73","1,530.00",371.00,12_27_2021
MEN,33.53,"1,009.40","1,065.90",992.00,"1,065.90","1,054.34","3,544.00","1,030.00","3,736,595.60",64,35.9,73.9,3.49,7.45,1.08,"1,117.91","1,013.86","1,530.00",371.00,12_28_2021
MEN,34.72,"1,080.00","1,087.20","1,023.40","1,048.60","1,060.23","2,750.00","1,065.90","2,915,645.00",61,-17.3,63.80,-1.62,6.23,-1.11,"1,119.37","1,015.85","1,530.00",371.00,12_29_2021
MEN,34.9,"1,080.00","1,087.20","1,023.40","1,048.60","1,060.23","2,750.00","1,065.90","2,915,645.00",61,-17.3,63.80,-1.62,6.23,-1.11,"1,119.37","1,015.85","1,530.00",371.00,12_30_2021
MEN,34.9,"1,080.00","1,087.20","1,023.40","1,048.60","1,060.23","2,750.00","1,065.90","2,915,645.00",61,-17.3,63.80,-1.62,6.23,-1.11,"1,119.37","1,015.85","1,530.00",371.00,12_31_2021
