RBCL,18.87,"13,700.00","13,799.00","13,530.00","13,560.00","13,702.09",110.00,"13,600.10","1,507,230.00",9,-40.1,269.0,-0.29,1.99,-1.05,"14,635.03","15,717.21","22,135.00","12,371.00",09_08_2022
RBCL,27.21,"13,700.00","13,799.00","13,530.00","13,560.00","13,702.09",110.00,"13,600.10","1,507,230.00",9,-40.1,269.0,-0.29,1.99,-1.05,"14,635.03","15,717.21","22,135.00","12,371.00",09_09_2022
RBCL,27.21,"13,700.00","13,799.00","13,530.00","13,560.00","13,702.09",110.00,"13,600.10","1,507,230.00",9,-40.1,269.0,-0.29,1.99,-1.05,"14,635.03","15,717.21","22,135.00","12,371.00",09_10_2022
RBCL,26.59,"13,790.00","13,830.00","13,655.00","13,655.00","13,764.29",140.00,"13,560.00","1,927,000.00",11,95.0,175.0,0.7,1.28,-0.8,"14,596.95","15,703.39","22,135.00","12,371.00",09_11_2022
RBCL,23.49,"13,615.00","13,650.00","13,515.00","13,540.00","13,574.56",90.00,"13,655.00","1,221,710.00",7,-115.0,135.0,-0.84,1.0,-0.26,"14,555.70","15,683.61","22,135.00","12,371.00",09_12_2022
RBCL,33.61,"13,541.00","13,770.00","13,541.00","13,651.00","13,684.71",180.00,"13,540.00","2,463,248.00",11,111.0,229.0,0.82,1.69,-0.25,"14,516.44","15,659.27","22,135.00","12,371.00",09_13_2022
RBCL,40.64,"13,900.00","13,950.00","13,805.00","13,806.70","13,891.51",150.00,"13,651.00","2,083,726.00",13,155.7,145.0,1.14,1.05,-0.61,"14,481.66","15,635.98","20,499.00","12,371.00",09_14_2022
RBCL,43.16,"13,632.00","13,675.00","13,355.00","13,355.00","13,515.67",460.00,"13,806.70","6,217,210.00",35,-451.7,320.0,-3.27,2.4,-1.2,"14,449.65","15,610.17","20,499.00","12,371.00",09_15_2022
RBCL,35.16,"13,250.00","13,250.00","13,201.00","13,201.00","13,214.01",80.00,"13,355.00","1,057,121.00",8,-154.0,49.0,-1.15,0.37,-0.1,"14,419.95","15,586.06","20,499.00","12,371.00",09_16_2022
RBCL,30.16,"13,250.00","13,250.00","13,201.00","13,201.00","13,214.01",80.00,"13,355.00","1,057,121.00",8,-154.0,49.0,-1.15,0.37,-0.1,"14,419.95","15,586.06","20,499.00","12,371.00",09_17_2022
RBCL,28.24,"13,001.00","13,260.00","13,000.00","13,021.00","13,055.98",241.00,"13,201.00","3,146,491.00",19,-180.0,260.0,-1.36,2.0,-0.27,"14,387.80","15,554.37","20,499.00","12,371.00",09_18_2022
RBCL,27.0,"13,001.00","13,260.00","13,000.00","13,021.00","13,055.98",241.00,"13,201.00","3,146,491.00",19,-180.0,260.0,-1.36,2.0,-0.27,"14,387.80","15,554.37","20,499.00","12,371.00",09_19_2022
RBCL,27.38,"13,280.00","13,280.00","12,770.00","12,885.00","12,815.60",336.00,"13,021.00","4,306,040.10",24,-136.0,510.0,-1.04,3.99,0.54,"14,353.87","15,518.49","20,499.00","12,371.00",09_20_2022
RBCL,29.65,"13,000.00","13,098.90","12,900.00","12,900.00","12,980.04",180.00,"12,885.00","2,336,408.00",17,15.0,198.9,0.12,1.54,-0.62,"14,321.83","15,483.49","20,499.00","12,371.00",09_21_2022
RBCL,34.4,"12,700.00","12,900.00","12,501.20","12,505.00","12,681.06",268.00,"12,900.00","3,398,523.00",25,-395.0,398.80,-3.06,3.19,-1.41,"14,283.54","15,447.13","20,499.00","12,371.00",09_22_2022
RBCL,62.09,"19,400.00","19,450.00","18,955.00","18,962.00","19,100.20",150.00,"19,300.00","2,865,030.00",15,-338.0,495.0,-1.75,2.61,-0.73,"20,064.86","18,956.96","24,370.00","12,651.00",11_03_2021
RBCL,54.96,"19,400.00","19,450.00","18,955.00","18,962.00","19,100.20",150.00,"19,300.00","2,865,030.00",15,-338.0,495.0,-1.75,2.61,-0.73,"20,064.86","18,956.96","24,370.00","12,651.00",11_05_2021
RBCL,54.96,"19,400.00","19,450.00","18,955.00","18,962.00","19,100.20",150.00,"19,300.00","2,865,030.00",15,-338.0,495.0,-1.75,2.61,-0.73,"20,064.86","18,956.96","24,370.00","12,651.00",11_06_2021
RBCL,54.96,"19,400.00","19,450.00","18,955.00","18,962.00","19,100.20",150.00,"19,300.00","2,865,030.00",15,-338.0,495.0,-1.75,2.61,-0.73,"20,064.86","18,956.96","24,370.00","12,651.00",11_07_2021
RBCL,55.75,"18,775.00","18,950.00","18,650.00","18,950.00","18,746.37",131.00,"18,962.00","2,455,775.00",11,-12.0,300.0,-0.06,1.61,1.07,"20,081.94","18,984.85","24,370.00","12,872.00",11_08_2021
RBCL,48.77,"18,610.00","18,610.00","18,200.00","18,497.00","18,329.42",271.00,"18,950.00","4,967,271.50",24,-453.0,410.0,-2.39,2.25,0.91,"20,090.25","19,009.28","24,370.00","12,872.00",11_09_2021
RBCL,47.03,"18,610.00","18,610.00","18,200.00","18,497.00","18,329.42",271.00,"18,950.00","4,967,271.50",24,-453.0,410.0,-2.39,2.25,0.91,"20,090.25","19,009.28","24,370.00","12,872.00",11_10_2021
RBCL,44.98,"18,151.00","18,161.00","18,150.00","18,150.00","18,156.82",88.00,"18,497.00","1,597,800.00",8,-347.0,11.0,-1.88,0.06,-0.04,"20,081.08","19,031.64","24,370.00","12,872.00",11_11_2021
RBCL,39.9,"18,151.00","18,161.00","18,150.00","18,150.00","18,156.82",88.00,"18,497.00","1,597,800.00",8,-347.0,11.0,-1.88,0.06,-0.04,"20,081.08","19,031.64","24,370.00","12,872.00",11_12_2021
RBCL,39.9,"18,151.00","18,161.00","18,150.00","18,150.00","18,156.82",88.00,"18,497.00","1,597,800.00",8,-347.0,11.0,-1.88,0.06,-0.04,"20,081.08","19,031.64","24,370.00","12,872.00",11_13_2021
RBCL,37.85,"18,150.00","18,300.00","18,000.00","18,200.00","18,170.73",150.00,"18,150.00","2,725,610.00",13,50.00,300.00,0.28,1.67,0.16,"20,066.92","19,049.21","24,370.00","12,872.00",11_14_2021
RBCL,41.03,"18,564.00","18,800.00","18,424.00","18,590.00","18,547.29",85.00,"18,200.00","1,576,520.00",8,390.00,376.00,2.14,2.04,0.23,"20,052.25","19,071.36","24,370.00","12,872.00",11_15_2021
RBCL,39.46,"18,495.00","18,690.00","18,495.00","18,690.00","18,577.45",110.00,"18,590.00","2,043,520.00",10,100.00,195.00,0.54,1.05,0.6,"20,041.79","19,091.86","24,370.00","12,872.00",11_16_2021
RBCL,46.08,"18,325.00","18,890.00","18,325.00","18,560.00","18,633.31",65.00,"18,690.00","1,211,165.00",6,-130.00,565.00,-0.7,3.08,-0.39,"20,029.92","19,112.51","24,370.00","12,872.00",11_17_2021
RBCL,49.98,"18,900.00","18,900.00","18,000.00","18,360.00","18,289.80",530.00,"18,560.00","9,693,595.00",45,-200.0,900.0,-1.08,5.0,0.38,"20,018.15","19,132.56","24,370.00","12,872.00",11_18_2021
RBCL,51.62,"18,900.00","18,900.00","18,000.00","18,360.00","18,289.80",530.00,"18,560.00","9,693,595.00",45,-200.0,900.0,-1.08,5.0,0.38,"20,018.15","19,132.56","24,370.00","12,872.00",11_19_2021
RBCL,51.62,"18,900.00","18,900.00","18,000.00","18,360.00","18,289.80",530.00,"18,560.00","9,693,595.00",45,-200.0,900.0,-1.08,5.0,0.38,"20,018.15","19,132.56","24,370.00","12,872.00",11_20_2021
RBCL,46.92,"18,201.00","18,500.00","18,201.00","18,230.10","18,350.91",100.00,"18,360.00","1,835,091.00",10,-129.9,299.0,-0.71,1.64,-0.66,"20,005.48","19,151.90","24,370.00","12,872.00",11_21_2021
RBCL,36.77,"18,551.00","18,689.00","18,200.00","18,200.00","18,404.56",170.00,"18,230.10","3,128,775.00",14,-30.1,489.0,-0.17,2.69,-1.12,"19,994.65","19,172.05","24,370.00","12,872.00",11_22_2021
RBCL,40.03,"18,100.00","18,459.90","17,836.00","17,951.00","18,040.33",215.00,"18,200.00","3,878,670.50",18,-249.0,623.9,-1.37,3.5,-0.5,"19,979.66","19,190.11","24,370.00","12,872.00",11_23_2021
RBCL,41.41,"17,701.00","18,289.90","17,592.00","18,000.00","17,841.55",332.00,"17,951.00","5,923,394.00",23,49.00,697.9,0.27,3.97,0.88,"19,966.33","19,207.37","24,370.00","12,872.00",11_24_2021
RBCL,45.26,"18,002.00","18,250.00","17,640.00","17,640.00","17,868.69",240.00,"18,000.00","4,288,486.00",19,-360.0,610.0,-2.0,3.46,-1.3,"19,942.99","19,218.15","24,370.00","12,872.00",11_25_2021
RBCL,43.6,"18,002.00","18,250.00","17,640.00","17,640.00","17,868.69",240.00,"18,000.00","4,288,486.00",19,-360.0,610.0,-2.0,3.46,-1.3,"19,942.99","19,218.15","24,370.00","12,872.00",11_26_2021
RBCL,43.6,"18,002.00","18,250.00","17,640.00","17,640.00","17,868.69",240.00,"18,000.00","4,288,486.00",19,-360.0,610.0,-2.0,3.46,-1.3,"19,942.99","19,218.15","24,370.00","12,872.00",11_27_2021
RBCL,40.7,"17,450.00","17,799.00","17,340.00","17,340.00","17,501.70",289.00,"17,640.00","5,057,990.00",17,-300.0,459.0,-1.7,2.65,-0.93,"19,908.33","19,225.37","24,370.00","12,872.00",11_28_2021
RBCL,41.2,"17,686.00","17,686.00","17,015.00","17,457.00","17,238.55",499.00,"17,340.00","8,602,036.00",26,117.0,671.0,0.67,3.94,1.25,"19,860.48","19,233.47","24,370.00","12,872.00",11_29_2021
RBCL,45.55,"17,798.90","18,160.00","17,798.90","18,000.10","17,921.06",270.00,"17,457.00","4,838,686.00",19,543.1,361.1,3.11,2.03,0.44,"19,819.06","19,245.19","24,370.00","12,872.00",11_30_2021
RBCL,51.94,"17,999.00","17,999.00","17,670.00","17,700.00","17,707.78",480.00,"18,000.10","8,499,735.00",19,-300.1,329.0,-1.67,1.86,-0.04,"19,787.39","19,257.41","24,370.00","12,872.00",12_01_2021
RBCL,55.97,"17,975.00","17,975.00","17,100.00","17,280.00","17,365.29",210.00,"17,700.00","3,646,710.00",19,-420.0,875.0,-2.37,5.12,-0.49,"19,752.64","19,265.61","24,370.00","12,872.00",12_02_2021
RBCL,50.15,"17,975.00","17,975.00","17,100.00","17,280.00","17,365.29",210.00,"17,700.00","3,646,710.00",19,-420.0,875.0,-2.37,5.12,-0.49,"19,752.64","19,265.61","24,370.00","12,872.00",12_03_2021
RBCL,50.15,"17,975.00","17,975.00","17,100.00","17,280.00","17,365.29",210.00,"17,700.00","3,646,710.00",19,-420.0,875.0,-2.37,5.12,-0.49,"19,752.64","19,265.61","24,370.00","12,872.00",12_04_2021
RBCL,49.25,"17,015.00","17,015.00","16,600.00","16,850.00","16,739.58",352.00,"17,280.00","5,892,331.00",32,-430.0,415.0,-2.49,2.5,0.66,"19,696.44","19,268.55","24,370.00","12,872.00",12_05_2021
RBCL,46.33,"16,601.00","16,881.00","16,274.00","16,700.00","16,594.07",887.00,"16,850.00","14,718,942.00",47,-150.0,607.00,-0.89,3.73,0.63,"19,643.94","19,269.08","24,370.00","12,872.00",12_06_2021
RBCL,44.89,"17,033.00","17,700.00","16,562.00","16,562.00","17,063.96",425.00,"16,700.00","7,252,185.00",32,-138.0,"1,138.00",-0.83,6.87,-3.03,"19,593.63","19,261.65","24,370.00","12,872.00",12_07_2021
RBCL,35.55,"12,749.00","12,750.00","12,561.00","12,561.00","12,667.25",80.00,"12,550.00","1,013,380.00",6,11.0,189.0,0.09,1.5,-0.85,"13,420.83","14,306.06","20,499.00","12,255.00",12_07_2022
RBCL,42.7,"16,893.00","17,574.00","15,900.00","16,399.00","16,095.61",922.00,"16,562.00","14,840,149.20",57,-163.0,"1,674.00",-0.98,10.53,1.85,"19,543.95","19,257.76","24,370.00","12,872.00",12_08_2021
RBCL,45.53,"16,077.00","16,319.00","15,752.00","16,060.00","15,957.93",739.00,"16,399.00","11,792,913.00",47,-339.0,567.0,-2.07,3.6,0.64,"19,489.12","19,249.53","24,370.00","12,872.00",12_09_2021
RBCL,43.2,"16,077.00","16,319.00","15,752.00","16,060.00","15,957.93",739.00,"16,399.00","11,792,913.00",47,-339.0,567.0,-2.07,3.6,0.64,"19,489.12","19,249.53","24,370.00","12,872.00",12_10_2021
RBCL,43.2,"16,077.00","16,319.00","15,752.00","16,060.00","15,957.93",739.00,"16,399.00","11,792,913.00",47,-339.0,567.0,-2.07,3.6,0.64,"19,489.12","19,249.53","24,370.00","12,872.00",12_11_2021
RBCL,42.55,"16,053.60","16,053.60","15,025.00","15,035.00","15,332.05",840.00,"16,060.00","12,878,921.00",55,"-1,025.00","1,028.60",-6.38,6.85,-1.98,"19,431.08","19,236.83","24,370.00","12,872.00",12_12_2021
RBCL,37.6,"14,735.00","15,250.00","13,907.00","14,000.00","14,435.65","1,637.00","15,035.00","23,631,159.50",95,"-1,035.00","1,343.00",-6.88,9.66,-3.11,"19,362.08","19,222.00","24,370.00","12,872.00",12_13_2021
RBCL,40.4,"14,280.00","15,300.00","14,280.00","15,300.00","14,801.60",428.00,"14,000.00","6,335,086.00",32,"1,300.00","1,020.00",9.29,7.14,3.26,"19,305.41","19,216.11","24,370.00","12,872.00",12_14_2021
RBCL,41.15,"15,600.00","15,700.00","14,980.00","15,449.00","15,356.51",900.00,"15,300.00","13,820,860.00",61,149.0,720.0,0.97,4.81,0.6,"19,247.11","19,214.71","24,370.00","12,872.00",12_15_2021
RBCL,43.74,"15,141.00","15,145.00","14,800.00","14,800.00","14,920.90",500.00,"15,449.00","7,460,450.00",34,-649.0,345.0,-4.2,2.33,-0.82,"19,181.53","19,208.46","24,370.00","12,872.00",12_16_2021
RBCL,44.67,"15,141.00","15,145.00","14,800.00","14,800.00","14,920.90",500.00,"15,449.00","7,460,450.00",34,-649.0,345.0,-4.2,2.33,-0.82,"19,181.53","19,208.46","24,370.00","12,872.00",12_17_2021
RBCL,44.67,"15,141.00","15,145.00","14,800.00","14,800.00","14,920.90",500.00,"15,449.00","7,460,450.00",34,-649.0,345.0,-4.2,2.33,-0.82,"19,181.53","19,208.46","24,370.00","12,872.00",12_18_2021
RBCL,44.67,"15,141.00","15,145.00","14,800.00","14,800.00","14,920.90",500.00,"15,449.00","7,460,450.00",34,-649.0,345.0,-4.2,2.33,-0.82,"19,181.53","19,208.46","24,370.00","12,872.00",12_19_2021
RBCL,41.98,"14,945.00","15,243.90","14,603.00","14,648.00","14,873.07",387.00,"14,800.00","5,755,880.00",36,-152.0,640.9,-1.03,4.39,-1.54,"19,121.09","19,201.03","24,370.00","12,872.00",12_20_2021
RBCL,47.13,"14,940.90","15,299.90","14,940.90","15,000.10","15,055.64",422.00,"14,648.00","6,353,478.00",25,352.1,359.00,2.4,2.4,-0.37,"19,060.51","19,190.46","24,370.00","12,872.00",12_21_2021
RBCL,44.3,"15,289.90","16,000.00","15,115.00","15,811.00","15,562.17",563.00,"15,000.10","8,761,503.00",43,810.9,885.0,5.41,5.86,1.57,"19,009.78","19,184.41","24,370.00","13,820.00",12_22_2021
RBCL,50.67,"16,099.00","16,099.00","15,494.80","15,650.00","15,712.32",573.00,"15,811.00","9,003,158.80",39,-161.0,604.2,-1.02,3.9,-0.4,"18,963.11","19,172.46","24,370.00","13,820.00",12_23_2021
RBCL,53.59,"16,099.00","16,099.00","15,494.80","15,650.00","15,712.32",573.00,"15,811.00","9,003,158.80",39,-161.0,604.2,-1.02,3.9,-0.4,"18,963.11","19,172.46","24,370.00","13,820.00",12_24_2021
RBCL,53.59,"16,099.00","16,099.00","15,494.80","15,650.00","15,712.32",573.00,"15,811.00","9,003,158.80",39,-161.0,604.2,-1.02,3.9,-0.4,"18,963.11","19,172.46","24,370.00","13,820.00",12_25_2021
RBCL,51.96,"15,900.00","17,204.30","15,900.00","16,945.00","16,571.87",833.00,"15,650.00","13,804,365.00",61,"1,295.00","1,304.30",8.27,8.2,2.2,"18,922.24","19,161.10","24,370.00","13,820.00",12_26_2021
RBCL,54.72,"16,611.00","17,100.00","16,001.00","16,001.00","16,557.68",705.00,"16,945.00","11,673,167.50",54,-944.0,"1,099.00",-5.57,6.87,-3.48,"18,875.87","19,146.11","24,370.00","13,820.00",12_27_2021
RBCL,53.93,"16,100.00","16,447.00","16,100.00","16,143.00","16,259.71",150.00,"16,001.00","2,438,957.00",13,142.0,347.0,0.89,2.16,-0.72,"18,832.49","19,133.01","24,370.00","13,907.00",12_28_2021
RBCL,47.88,"15,830.00","17,250.00","15,820.20","17,100.00","16,907.19","1,014.00","16,143.00","17,143,894.00",81,957.0,"1,429.80",5.93,9.04,1.13,"18,798.33","19,124.74","24,370.00","13,907.00",12_29_2021
RBCL,56.75,"15,830.00","17,250.00","15,820.20","17,100.00","16,907.19","1,014.00","16,143.00","17,143,894.00",81,957.0,"1,429.80",5.93,9.04,1.13,"18,798.33","19,124.74","24,370.00","13,907.00",12_30_2021
RBCL,56.75,"15,830.00","17,250.00","15,820.20","17,100.00","16,907.19","1,014.00","16,143.00","17,143,894.00",81,957.0,"1,429.80",5.93,9.04,1.13,"18,798.33","19,124.74","24,370.00","13,907.00",12_31_2021
